ID;"Active (0/1)";"Name *";"Parent category";"Root category (0/1)";Description;"Meta title";"Meta keywords";"Meta description";"URL rewritten";"Image URL"
;1;;;0;;;;;" ";https://ferreteria.es/media/catalog/category/carros_de_cocina.jpg
;1;;;0;;;;;" ";
;1;;;0;;;;;" ";
;1;;;0;;;;;" ";
;1;;;0;;;;;" ";
;1;;;0;;;;;" ";
;1;;;0;;;;;" ";
;1;;;0;;;;;" ";
;1;;;0;;;;;" ";
64;1;"+ Menaje de cocina";2;0;"+ Menaje de cocina";"+ Menaje de cocina";"+ Menaje de cocina";"+ Menaje de cocina";" ";" "
65;1;Escurreplatos;64;0;Escurreplatos;Escurreplatos;Escurreplatos;Escurreplatos;" ";
66;1;Jamoneros;64;0;Jamoneros;Jamoneros;Jamoneros;Jamoneros;" ";
67;1;"Portarrollos de cocina";64;0;"Portarrollos de cocina";"Portarrollos de cocina";"Portarrollos de cocina";"Portarrollos de cocina";" ";
68;1;"Recipientes para horno";64;0;"Recipientes para horno";"Recipientes para horno";"Recipientes para horno";"Recipientes para horno";" ";
69;1;Vajillas;64;0;Vajillas;Vajillas;Vajillas;Vajillas;" ";
70;1;"Platos y servicio de mesa";64;0;"Platos y servicio de mesa";"Platos y servicio de mesa";"Platos y servicio de mesa";"Platos y servicio de mesa";" ";
71;1;Platos;70;0;Platos;Platos;Platos;Platos;" ";
72;1;"Fuentes, ensaladeras y entremeseros";70;0;"Fuentes, ensaladeras y entremeseros";"Fuentes, ensaladeras y entremeseros";"Fuentes, ensaladeras y entremeseros";"Fuentes, ensaladeras y entremeseros";" ";
73;1;"Tazas y bols desayuno";70;0;"Tazas y bols desayuno";"Tazas y bols desayuno";"Tazas y bols desayuno";"Tazas y bols desayuno";" ";
74;1;"Juegos para desayuno";70;0;"Juegos para desayuno";"Juegos para desayuno";"Juegos para desayuno";"Juegos para desayuno";" ";
75;1;"Juegos de café y té";70;0;"Juegos de café y té";"Juegos de café y té";"Juegos de café y té";"Juegos de café y té";" ";
76;1;"Cubiertos de mesa";64;0;"Cubiertos de mesa";"Cubiertos de mesa";"Cubiertos de mesa";"Cubiertos de mesa";" ";
77;1;Cuchillos;76;0;Cuchillos;Cuchillos;Cuchillos;Cuchillos;" ";
78;1;Cucharas;76;0;Cucharas;Cucharas;Cucharas;Cucharas;" ";
79;1;Tenedores;76;0;Tenedores;Tenedores;Tenedores;Tenedores;" ";
80;1;"Cuberterías completas";76;0;"Cuberterías completas";"Cuberterías completas";"Cuberterías completas";"Cuberterías completas";" ";
81;1;Aperitivos;76;0;Aperitivos;Aperitivos;Aperitivos;Aperitivos;" ";
82;1;"Accesorios para cubiertos";76;0;"Accesorios para cubiertos";"Accesorios para cubiertos";"Accesorios para cubiertos";"Accesorios para cubiertos";" ";
